id,descriptions,actions,length
V001,"A woman opens the door, allowing a group of people to enter. The people enter the room and pull a chair closer to sit down. One person reaches into their pocket and pulls out a gun. A child suddenly runs across the room. The armed person grabs the woman and pushes her into another room.",c001 0.00 7.94;c002 13.93 23.57;c003 26.79 31.97;c004 46.22 82.63,101
V002,"A man looks around before approaching a closet. He opens the closet door and checks through the drawers, inspecting their contents. Later, he is seen negotiating with two other individuals in the room. During the discussion, he examines their belongings, possibly checking for valuable items.",c005 4.57 17.43;c005 31.68 46.61;c006 48.82 124.75;c007 183.08 187.50;c008 5.46 11.08;c005 12.08 23.89;c008 39.88 48.32;c009 50.82 75.53;c010 136.55 140.33;c011 141.96 192.46,210
V003,"A man walks around a house cautiously, scanning his surroundings. After ensuring no one is around, he moves towards a television, disconnects the cables, and lifts it up. He carries the TV carefully and sets it on the floor, before setting his sights on a laptop in another room. He picks up the laptop and exits",c005 4.57 17.43;c005 31.68 46.61;c006 48.82 124.75;c007 183.08 187.50,193
V004,"A group of people enters a room where a man sits on a sofa. They point guns at him, bring another hostage from another room, and force him to lie on the ground while one person guards him. Later, in another room they rummage through the cupboards, and take whatever they find.",c004 3.79 18.83;c008 224.85 248.32;c012 250.28 286.97;c012 289.08 299.97;c013 22.32 89.35;c006 176.75 185.69,300
V005,"A couple of men open an already broken door and enter the building. After some time, a group of people carrying a TV leaves through the same door and gets into a car before driving away.",c001 7.57 27.66;c006 128.28 130.24;c014 130.64 139.13,139.13
V006,"A group of people wearing masks are seen walking up and down the stairs, searching through the area. They take whatever they find.",c015 0.14 5.96;c016 7.75 12.63;c017 13.75 28.54;c015 40.55 44.47,55
V007,"A group of people attempt to break open a gate with crowbars.",c022 6.91 129.91,129.91
V008,"A group of men load a bike onto a pickup truck, secure it, and drive away.",c023 0.57 16.61;c024 17.02 60.16;c025 62.77 70.82,70.82
V009,"A group of men break into a parked vehicle, enter it, and drive away.",c026 11.80 116.96;c025 129.39 148.75,153
V010,"A man attempts to break into a house but fails. After several tries, he gives up, returns to his car, and drives away.",c025 384.57 391.57;c027 160.96 370.96,394
V011,"A man walks up to a house and rings the doorbell, waiting for a response. He has a gun. After some time, when no one answers, he attempts to break into the house using a broomstick.",c028 0.13 19.91;c029 20.14 21.83;c029 50.10 52.58;c004 122.33 123.46;c030 130.13 254.24,254.24
V012,"A couple of men approach a house and attempt to gain entry through a window. They use crowbars/rods to pry open the window. After successfully opening it, one of them climb inside the house.",c031 0.00 150.00;c032 150.78 158.14,164
