# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_0nE5rPbI","[""video3.mp4""]",4.566,17.425,"{""subtitle"":""Walking around looking at surroundings""}"
"1_0a34NEEX","[""video3.mp4""]",31.675,46.613,"{""subtitle"":""Walking around looking at surroundings""}"
"1_X6uZ0tPG","[""video3.mp4""]",48.816,124.753,"{""subtitle"":""Stealing a TV""}"
"1_THXtmQEv","[""video3.mp4""]",183.082,187.503,"{""subtitle"":""Stealing a laptop""}"
"2_OYhAyXE9","[""video2.mp4""]",5.457,11.082,"{""subtitle"":""Opening a closet/cabinet""}"
"2_16c7sfCo","[""video2.mp4""]",12.082,23.894,"{""subtitle"":""Walking around looking at surroundings""}"
"2_OmXAmGF0","[""video2.mp4""]",39.878,48.316,"{""subtitle"":""Opening a closet/cabinet""}"
"2_urmXZVu8","[""video2.mp4""]",50.816,75.535,"{""subtitle"":""Opening a drawer""}"
"2_fjQNxV95","[""video2.mp4""]",136.55,140.332,"{""subtitle"":""Negotiating with people""}"
"2_GXjRlbOD","[""video2.mp4""]",141.957,192.457,"{""subtitle"":""Inspecting other people’s belongings""}"
